web-scraper-order,web-scraper-start-url,base,link,link-href,title,company and location
1615739575-202,https://okjobmatch.com/search/jobs?utf8=%E2%9C%93&search_job_search%5Bkeywords%5D=developer&search_job_search%5Blocation%5D=tulsa&search_job_search%5Bradius%5D=25&commit=run_search,,AWS Developer,https://okjobmatch.com/jobs/1994817,AWS Developer,"at Syms Strategic Group, LLC (SSG) in Tulsa, Oklahoma, United States"
1615739553-191,https://okjobmatch.com/search/jobs?utf8=%E2%9C%93&search_job_search%5Bkeywords%5D=developer&search_job_search%5Blocation%5D=tulsa&search_job_search%5Bradius%5D=25&commit=run_search,"<header class=""card__header"">
<h4 class=""card__title"" id=""title_card_fdf02d76-9561-48ab-ad51-a8e405bf6463"">
<a href=""/jobs/2001371"">.NET Developer</a>
</h4>
<span class=""card__keys"">
</span>
<p class=""card-metadata card-metadata--job-employer"" id=""employer_card_fdf02d76-9561-48ab-ad51-a8e405bf6463"">
at Syms Strategic Group, LLC (SSG) in Tulsa, Oklahoma, United States

</p>
</header>
<div class=""card__body"">
<div class=""card__summary"">

</div>
<p>Syms Strategic Group (<span class=""caps""><span class=""caps"">SSG</span></span>) is seeking a talented .Net Developer</p>
<p>Location: All U.S. based locations may be considered.</p>
<p>Department: Veterans Affairs</p>
<p>…</p>
<a aria-label=""Read full job details for .NET Developer"" href=""/jobs/2001371"">Read full job details
<span class=""icon-arrow_right"" aria-hidden=""true""></span>
</a></div>
<div class=""card__status"" id=""status_card_fdf02d76-9561-48ab-ad51-a8e405bf6463"">
</div>
<div class=""card__metadata"" id=""metadata_card_fdf02d76-9561-48ab-ad51-a8e405bf6463"">
<p class=""card-metadata card-metadata--job-order-number"">
<span class=""card-metadata__label"">Job Order</span>
<span class=""count"">JC178842373</span>
</p>
<p class=""card-metadata card-metadata--job-expires-on"">
<span class=""card-metadata__label"">Expires</span>
<span class=""card-metadata__value"">Apr 03, 2021</span>
<span class=""card-metadata__value"">(20 days)</span>
</p>
<p class=""card-metadata card-metdata--job-posted-on"">
<span class=""card-metadata__label"">Posted</span>
Mar 04, 2021
</p>
<p class=""card-metadata card-metadata--job-updated"">
<span class=""card-metadata__label"">Updated</span>
Mar 04, 2021
</p>
</div>
<footer class=""card__actions button-group"">
</footer>",,,,
1615739553-196,https://okjobmatch.com/search/jobs?utf8=%E2%9C%93&search_job_search%5Bkeywords%5D=developer&search_job_search%5Blocation%5D=tulsa&search_job_search%5Bradius%5D=25&commit=run_search,"<header class=""card__header"">
<h4 class=""card__title"" id=""title_card_88283c9e-53c5-4cc7-942e-63db7e2837f8"">
<a href=""/jobs/2003485"">Senior Software Developer in Test</a>
</h4>
<span class=""card__keys"">
</span>
<p class=""card-metadata card-metadata--job-employer"" id=""employer_card_88283c9e-53c5-4cc7-942e-63db7e2837f8"">
at John Zink Company, LLC in Tulsa, Oklahoma, United States

</p>
</header>
<div class=""card__body"">
<div class=""card__summary"">
<abbr class=""tag"" title=""Bachelor's Degree education required"">
<span class=""icon-graduation-cap"" aria-hidden=""true""></span>
<span aria-hidden=""true"">Bachelor's Degree</span>
</abbr>
<abbr class=""tag"" title=""3 years experience required"">
<span class=""icon-general_calendar"" aria-hidden=""true""></span>
<span aria-hidden=""true"">3 years experience</span>
</abbr>
<abbr class=""tag"" title=""40 hours per week"">
<span class=""icon-clock"" aria-hidden=""true""></span>
<span aria-hidden=""true"">40 hours</span>
</abbr>

</div>
<p><strong>Description</strong></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>The OnPoint, Senior Software Developer in Test (<span class=""caps"">SDT</span>) will be part of a fast-growing technology group within a large and stable company. Be part of a tea…</p>
<a aria-label=""Read full job details for Senior Software Developer in Test"" href=""/jobs/2003485"">Read full job details
<span class=""icon-arrow_right"" aria-hidden=""true""></span>
</a></div>
<div class=""card__status"" id=""status_card_88283c9e-53c5-4cc7-942e-63db7e2837f8"">
</div>
<div class=""card__metadata"" id=""metadata_card_88283c9e-53c5-4cc7-942e-63db7e2837f8"">
<p class=""card-metadata card-metadata--job-order-number"">
<span class=""card-metadata__label"">Job Order</span>
<span class=""count"">2003485</span>
</p>
<p class=""card-metadata card-metadata--job-expires-on"">
<span class=""card-metadata__label"">Expires</span>
<span class=""card-metadata__value"">Apr 06, 2021</span>
<span class=""card-metadata__value"">(23 days)</span>
</p>
<p class=""card-metadata card-metdata--job-posted-on"">
<span class=""card-metadata__label"">Posted</span>
Mar 07, 2021
</p>
<p class=""card-metadata card-metadata--job-updated"">
<span class=""card-metadata__label"">Updated</span>
Mar 07, 2021
</p>
</div>
<footer class=""card__actions button-group"">
</footer>",,,,
1615739571-201,https://okjobmatch.com/search/jobs?utf8=%E2%9C%93&search_job_search%5Bkeywords%5D=developer&search_job_search%5Blocation%5D=tulsa&search_job_search%5Bradius%5D=25&commit=run_search,,Senior Software Developer in Test,https://okjobmatch.com/jobs/2003485,Senior Software Developer in Test,"at John Zink Company, LLC in Tulsa, Oklahoma, United States"
1615739553-194,https://okjobmatch.com/search/jobs?utf8=%E2%9C%93&search_job_search%5Bkeywords%5D=developer&search_job_search%5Blocation%5D=tulsa&search_job_search%5Bradius%5D=25&commit=run_search,"<header class=""card__header"">
<h4 class=""card__title"" id=""title_card_757c3224-2cc0-44e1-8c45-5ed9e5de1af3"">
<a href=""/jobs/2003317"">Infor ION Integration Developer *(Remote)</a>
</h4>
<span class=""card__keys"">
</span>
<p class=""card-metadata card-metadata--job-employer"" id=""employer_card_757c3224-2cc0-44e1-8c45-5ed9e5de1af3"">
at TEKsystems in Tulsa, Oklahoma, United States

</p>
</header>
<div class=""card__body"">
<div class=""card__summary"">

</div>
<p>Description:</p>
<p>TEKsystems is seeking an experienced Infor <span class=""caps""><span class=""caps"">ION</span></span> integration developer. *This position can sit 100% remote.</p>
<p>This person will play an important …</p>
<a aria-label=""Read full job details for Infor ION Integration Developer *(Remote)"" href=""/jobs/2003317"">Read full job details
<span class=""icon-arrow_right"" aria-hidden=""true""></span>
</a></div>
<div class=""card__status"" id=""status_card_757c3224-2cc0-44e1-8c45-5ed9e5de1af3"">
</div>
<div class=""card__metadata"" id=""metadata_card_757c3224-2cc0-44e1-8c45-5ed9e5de1af3"">
<p class=""card-metadata card-metadata--job-order-number"">
<span class=""card-metadata__label"">Job Order</span>
<span class=""count"">JC179039674</span>
</p>
<p class=""card-metadata card-metadata--job-expires-on"">
<span class=""card-metadata__label"">Expires</span>
<span class=""card-metadata__value"">Apr 06, 2021</span>
<span class=""card-metadata__value"">(23 days)</span>
</p>
<p class=""card-metadata card-metdata--job-posted-on"">
<span class=""card-metadata__label"">Posted</span>
Mar 07, 2021
</p>
<p class=""card-metadata card-metadata--job-updated"">
<span class=""card-metadata__label"">Updated</span>
Mar 07, 2021
</p>
</div>
<footer class=""card__actions button-group"">
</footer>",,,,
1615739579-203,https://okjobmatch.com/search/jobs?utf8=%E2%9C%93&search_job_search%5Bkeywords%5D=developer&search_job_search%5Blocation%5D=tulsa&search_job_search%5Bradius%5D=25&commit=run_search,,Infor ION Integration Developer *(Remote),https://okjobmatch.com/jobs/2003317,Infor ION Integration Developer *(Remote),"at TEKsystems in Tulsa, Oklahoma, United States"
1615739591-205,https://okjobmatch.com/search/jobs?utf8=%E2%9C%93&search_job_search%5Bkeywords%5D=developer&search_job_search%5Blocation%5D=tulsa&search_job_search%5Bradius%5D=25&commit=run_search,,Senior Front- End Software Developer,https://okjobmatch.com/jobs/2002083,Senior Front- End Software Developer,"at Fiserv in Tulsa, Oklahoma, United States"
1615739553-195,https://okjobmatch.com/search/jobs?utf8=%E2%9C%93&search_job_search%5Bkeywords%5D=developer&search_job_search%5Blocation%5D=tulsa&search_job_search%5Bradius%5D=25&commit=run_search,"<header class=""card__header"">
<h4 class=""card__title"" id=""title_card_8f86557d-bc2e-4485-90d9-ea9b6e2aacec"">
<a href=""/jobs/1994817"">AWS Developer</a>
</h4>
<span class=""card__keys"">
</span>
<p class=""card-metadata card-metadata--job-employer"" id=""employer_card_8f86557d-bc2e-4485-90d9-ea9b6e2aacec"">
at Syms Strategic Group, LLC (SSG) in Tulsa, Oklahoma, United States

</p>
</header>
<div class=""card__body"">
<div class=""card__summary"">

</div>
<p>Syms Strategic Group (<span class=""caps""><span class=""caps"">SSG</span></span>) is seeking a talented <span class=""caps""><span class=""caps"">AWS</span></span> Developer</p>
<p>Location: All U.S. based locations may be considered</p>
<p>Department: …</p>
<a aria-label=""Read full job details for AWS Developer"" href=""/jobs/1994817"">Read full job details
<span class=""icon-arrow_right"" aria-hidden=""true""></span>
</a></div>
<div class=""card__status"" id=""status_card_8f86557d-bc2e-4485-90d9-ea9b6e2aacec"">
</div>
<div class=""card__metadata"" id=""metadata_card_8f86557d-bc2e-4485-90d9-ea9b6e2aacec"">
<p class=""card-metadata card-metadata--job-order-number"">
<span class=""card-metadata__label"">Job Order</span>
<span class=""count"">JC178235365</span>
</p>
<p class=""card-metadata card-metadata--job-expires-on"">
<span class=""card-metadata__label"">Expires</span>
<span class=""card-metadata__value"">Mar 23, 2021</span>
<span class=""card-metadata__value"">(9 days)</span>
</p>
<p class=""card-metadata card-metdata--job-posted-on"">
<span class=""card-metadata__label"">Posted</span>
Feb 21, 2021
</p>
<p class=""card-metadata card-metadata--job-updated"">
<span class=""card-metadata__label"">Updated</span>
Feb 21, 2021
</p>
</div>
<footer class=""card__actions button-group"">
</footer>",,,,
1615739553-193,https://okjobmatch.com/search/jobs?utf8=%E2%9C%93&search_job_search%5Bkeywords%5D=developer&search_job_search%5Blocation%5D=tulsa&search_job_search%5Bradius%5D=25&commit=run_search,"<header class=""card__header"">
<h4 class=""card__title"" id=""title_card_02d43584-21bd-4abb-91f6-ca7544857b2c"">
<a href=""/jobs/1996637"">Sr Salesforce Developer</a>
</h4>
<span class=""card__keys"">
</span>
<p class=""card-metadata card-metadata--job-employer"" id=""employer_card_02d43584-21bd-4abb-91f6-ca7544857b2c"">
at Health Care Service Corporation in Tulsa, Oklahoma, United States

</p>
</header>
<div class=""card__body"">
<div class=""card__summary"">
<abbr class=""tag"" title=""Bachelor's Degree education required"">
<span class=""icon-graduation-cap"" aria-hidden=""true""></span>
<span aria-hidden=""true"">Bachelor's Degree</span>
</abbr>
<abbr class=""tag"" title=""6 years experience required"">
<span class=""icon-general_calendar"" aria-hidden=""true""></span>
<span aria-hidden=""true"">6 years experience</span>
</abbr>
<abbr class=""tag"" title=""40 hours per week"">
<span class=""icon-clock"" aria-hidden=""true""></span>
<span aria-hidden=""true"">40 hours</span>
</abbr>

</div>
<p><strong>Job ID:<span class=""caps"">PNS</span>-1040598</strong></p>
<p>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; <strong>Description:</strong></p>
<p>&lt;br&gt;</p>
<p>&lt;br&gt;</p>
<p>As the healthcare industry continues to rapidly transform, our IT team conceives, develops a…</p>
<a aria-label=""Read full job details for Sr Salesforce Developer"" href=""/jobs/1996637"">Read full job details
<span class=""icon-arrow_right"" aria-hidden=""true""></span>
</a></div>
<div class=""card__status"" id=""status_card_02d43584-21bd-4abb-91f6-ca7544857b2c"">
</div>
<div class=""card__metadata"" id=""metadata_card_02d43584-21bd-4abb-91f6-ca7544857b2c"">
<p class=""card-metadata card-metadata--job-order-number"">
<span class=""card-metadata__label"">Job Order</span>
<span class=""count"">1996637</span>
</p>
<p class=""card-metadata card-metadata--job-expires-on"">
<span class=""card-metadata__label"">Expires</span>
<span class=""card-metadata__value"">Mar 28, 2021</span>
<span class=""card-metadata__value"">(14 days)</span>
</p>
<p class=""card-metadata card-metdata--job-posted-on"">
<span class=""card-metadata__label"">Posted</span>
Feb 26, 2021
</p>
<p class=""card-metadata card-metadata--job-updated"">
<span class=""card-metadata__label"">Updated</span>
Feb 26, 2021
</p>
</div>
<footer class=""card__actions button-group"">
</footer>",,,,
1615739559-200,https://okjobmatch.com/search/jobs?utf8=%E2%9C%93&search_job_search%5Bkeywords%5D=developer&search_job_search%5Blocation%5D=tulsa&search_job_search%5Bradius%5D=25&commit=run_search,,OSS Developer,https://okjobmatch.com/jobs/2004129,OSS Developer,"at Zayo Group LLC in Tulsa, Oklahoma, United States"
